

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.011  000.011: --- NVIM STARTING ---
000.142  000.131: event init
000.240  000.098: early init
000.322  000.082: locale set
000.394  000.072: init first window
000.779  000.385: inits 1
000.803  000.024: window checked
000.806  000.003: parsing arguments
001.477  000.071  000.071: require('vim.shared')
001.622  000.059  000.059: require('vim._meta')
001.625  000.143  000.084: require('vim._editor')
001.626  000.263  000.048: require('vim._init_packages')
001.628  000.560: init lua interpreter
001.706  000.078: expanding arguments
001.760  000.053: inits 2
002.128  000.369: init highlight
002.130  000.001: waiting for UI
002.324  000.195: done waiting for UI
002.332  000.008: clear screen
002.494  000.162: init default mappings & autocommands
004.111  000.061  000.061: sourcing /snap/nvim/2809/usr/share/nvim/runtime/ftplugin.vim
004.382  000.036  000.036: sourcing /snap/nvim/2809/usr/share/nvim/runtime/indent.vim
006.198  000.312  000.312: require('packer.util')
006.267  001.462  001.150: require('packer')
006.645  000.376  000.376: require('packer.log')
007.334  000.263  000.263: require('packer.async')
007.870  000.212  000.212: require('packer.result')
007.876  000.539  000.327: require('packer.jobs')
007.881  001.218  000.415: require('packer.plugin_utils')
008.277  000.382  000.382: require('packer.snapshot')
009.042  000.168  000.168: require('mason-core.path')
009.578  000.249  000.249: require('mason-core.functional')
009.943  000.137  000.137: require('mason-core.functional.data')
009.951  000.358  000.222: require('mason-core.functional.function')
010.116  000.150  000.150: require('mason-core.functional.relation')
010.320  000.163  000.163: require('mason-core.functional.logic')
010.337  001.291  000.371: require('mason-core.platform')
010.527  000.188  000.188: require('mason.settings')
010.531  001.815  000.167: require('mason')
011.232  000.308  000.308: require('mason-core.functional.list')
011.461  000.223  000.223: require('mason-core.functional.string')
011.492  000.946  000.415: require('mason.api.command')
011.723  000.221  000.221: require('mason-registry.sources')
012.549  000.543  000.543: require('mason-core.log')
012.709  000.156  000.156: require('mason-lspconfig.settings')
012.719  000.981  000.282: require('mason-lspconfig')
013.137  000.126  000.126: require('mason-lspconfig.notify')
013.143  000.419  000.293: require('mason-lspconfig.lspconfig_hook')
017.425  000.427  000.427: require('vim.lsp.log')
018.759  001.325  001.325: require('vim.lsp.protocol')
021.172  000.625  000.625: require('vim.lsp._snippet')
021.468  000.292  000.292: require('vim.highlight')
021.478  000.006  000.006: require('vim.F')
021.506  002.737  001.814: require('vim.lsp.util')
021.529  005.487  000.998: require('vim.lsp.handlers')
022.271  000.740  000.740: require('vim.lsp.rpc')
022.679  000.405  000.405: require('vim.lsp.sync')
023.533  000.850  000.850: require('vim.lsp.semantic_tokens')
024.236  000.700  000.700: require('vim.lsp.buf')
024.607  000.368  000.368: require('vim.lsp.diagnostic')
024.979  000.369  000.369: require('vim.lsp.codelens')
025.078  011.353  002.436: require('vim.lsp')
025.114  011.969  000.615: require('lspconfig.util')
025.519  000.184  000.184: require('mason-core.functional.table')
025.584  000.468  000.285: require('mason-lspconfig.mappings.server')
026.041  000.177  000.177: require('mason-core.EventEmitter')
026.224  000.181  000.181: require('mason-core.optional')
026.716  000.254  000.254: require('mason-core.async')
026.848  000.129  000.129: require('mason-core.async.uv')
026.855  000.627  000.245: require('mason-core.fs')
026.881  001.295  000.309: require('mason-registry')
027.002  000.118  000.118: require('mason-lspconfig.server_config_extensions')
027.480  000.476  000.476: require('lspconfig.configs')
027.671  000.188  000.188: require('lspconfig.server_configurations.omnisharp')
028.400  000.152  000.152: require('mason-core.functional.number')
028.425  000.422  000.270: require('mason-lspconfig.api.command')
028.483  000.006  000.006: require('vim.keymap')
029.758  001.272  001.272: require('vim.diagnostic')
030.218  000.165  000.165: require('cmp_nvim_lsp.source')
030.222  000.334  000.169: require('cmp_nvim_lsp')
030.629  000.178  000.178: require('lspconfig')
030.879  000.244  000.244: require('lspconfig.server_configurations.vimls')
032.027  000.257  000.257: require('lspconfig.server_configurations.lua_ls')
032.988  000.225  000.225: require('lspconfig.server_configurations.bashls')
034.191  000.233  000.233: require('lspconfig.server_configurations.groovyls')
034.768  000.186  000.186: require('mason-lspconfig.server_configurations.groovyls')
035.079  000.233  000.233: require('lspconfig.server_configurations.marksman')
035.934  000.235  000.235: require('lspconfig.server_configurations.jsonls')
